en	de
Telegram Message/Update of this type not yet supported. No special handling is taking place for it, but that doesn't mean that a Telegram-System-related update didn't work. You may assume it did.	Telegram-Nachricht/Update dieses Typs wird noch nicht unterstützt. Es findet keine spezielle Verarbeitung statt, aber das bedeutet nicht, dass ein Telegram-System-bezogenes Update nicht funktioniert hat. Sie können davon ausgehen, dass es funktioniert hat.
Please contact technical support or your supervisor.	Bitte kontaktieren Sie den technischen Support oder Ihren Supervisor.
Attachment type {0} is not yet supported!	Noch keine Unterstützung für Anhang von Typ {0}! 
The BotCommand {0} does not exist for the {1}Bot.	Der BotCommand {0} existiert nicht für den {1}Bot.
Error while trying to retrieve full Telegram server path to attachment file.	Fehler beim Versuch, den vollständigen Telegram-Serverpfad zum Anhang abzurufen.
Echo of a {0} BotCommand: 	Echo eines {0} BotCommand: 
Tap on the menu button or type '/' to see available BotCommands.	Klicken Sie auf den Menüknopf oder tippen Sie '/' um verfügbare Befehle zu sehen.
Failed to convert your Telegram Message: 	Fehler beim Konvertieren deiner Telegram-Nachricht: 
English string for testing	Deutscher Text für Tests
⬅️ Back	⬅️ Zurück
❌ Cancel	❌ Abbrechen
⏭️ Skip	⏭️ Überspringen
💾 Save	💾 Speichern
📤 Submit	📤 Abschicken
📋 Review	📋 Überprüfen
✏️ Edit	✏️ Bearbeiten
⏳ Wait...	⏳ Warten...
🚫 No	🚫 Nein
✅ Yes	✅ Ja
❓ Maybe	❓ Vielleicht
(3) 👎 Disastrous	(3) 👎 Katastrophal
(2) 😐 Not Good	(2) 😐 Nicht gut
(1) 👍 Good	(1) 👍 Gut
Sanitary-Admin	Sanitär-Gewerksleiter
Sanitary-Inspector	Sanitär-Inspektor
Sanitary-Engineer	Sanitär-Installateur
Sanitary-CleanLead	Sanitär-Reinigungsvorarbeiter
Sanitary-Observer	Sanitär-Beobachter
🪣 Cleaning Issue	🪣 Reinigungsproblem
🔧 Technical Issue	🔧 Technikproblem
🗄 Missing Consumables	🗄 Fehlende Verbrauchsartikel
🧻 Toilet Paper	🧻 Toilettenpapier
🌫️ Paper Towels	🌫️ Papiertücher
🧴 Soap	🧴 Seife
🚽 Toilet	🚽 Toilette
🚿 Shower	🚿 Dusche
🙋 Staff	🙋 Personal
Other Facility	Andere Einrichtung
⛺ Please choose a camp.	⛺ Bitte ein camp auswählen.
Please choose:	Bitte wählen:
🌀 Please enter your role token (format '{0}'): 	🌀 Bitte geben Sie Ihren Rollentoken ein (Format '{0}'): 
{0}, you have successfully authenticated at live-event {1} in your role as: 	{0}, Sie haben sich erfolgreich beim Live-Event {1} authentifiziert in Ihrer Rolle als: 
This is an unknown token. Try again...	Dieser Token ist unbekannt. Erneut versuchen...
Bad token format! Try again...	Falsches Tokenformat! Erneut versuchen...
Warning: you were already authenticated with this token in another {0} chat.\nThis will be the new {0} chat where you receive messages at {1}, in your role as: 	Warnung: Sie wurden bereits mit diesem Token in einem anderen {0}-Chat authentifiziert.\nDies wird der neue {0}-Chat sein, in dem Sie Nachrichten bei {1} erhalten, in Ihrer Rolle als: 
🌎 Please select your preferred language:	🌎 Bitte wählen Sie Ihre bevorzugte Sprache:
The previous workflow was completed. You can continue with a new one... 	Der vorherige Workflow wurde abgeschlossen. Sie können nun einen neuen anfangen... 
The previous workflow was completed, so your last message/action will be ignored.	Der vorherige Workflow ist abgeschlossen, deine letzte Nachricht/Aktion wird deswegen ignoriert.
FYI: you interrupted the previous workflow before its completion or successful submission.	FYI: Sie haben den vorherigen Workflow unterbrochen, bevor er abgeschlossen bzw. abgeschickt wurde.
💨 Logged out.	💨 Ausgeloggt.
Are you sure you want to log out from this chat for {0}?	Sind Sie sicher, dass Sie sich aus diesem Chat beim {0} abmelden möchten?
Logout aborted.	Logout abgebrochen.
🫡 Welcome to the CheckMade Bot. I shall follow your command!	🫡 Willkommen zum CheckMade Bot. Ich stehe für Sie Gewehr bei Fuß!
🪠 Sanitary	🪠 Sanitär
🧹 Site Cleaning	🧹 Geländereinigung
LiveEvent-Admin	LiveEvent-Admin
LiveEvent-Observer	LiveEvent-Beobachter
{0}, your current role is: 	{0}, Ihre aktuelle Rolle ist: 
Please select a Trade:	Bitte wählen Sie ein Gewerk aus:
Please confirm: are you at '{0}'?	Bitte bestätigen: Sind Sie bei/in '{0}'?
<b>Sanitary Camp</b>	<b>Sanitärcamp</b>
<b>Zone</b>	<b>Zone</b>
Please select a 	Bitte wählen Sie ein(e) 
Please select the type of submission:	Bitte wählen Sie den Meldungstyp:
Expected a simple text! Please try again entering a 	Ein einfacher Text war erwartet. Bitte erneut versuchen - 
This is not a valid name. Please choose from the valid options for a 	Kein gültiger Name. Bitte eine gültige Option wählen für ein(e) 
