SqlMig_Index;DevDb;PrdDb;Related_To_DataMig;Required_by_Vers;Note
001;1;1;;;
004;1;1;0001;0.7.7;""
002;1;1;;;
003;1;1;;;
005;1;1;;0.8.1;
006;1;0;0002;0.8.5;
007;1;1;;0.8.7;
008;1;1;;0.9.1;
009;1;1;;0.9.2;
010;1;1;;0.9.2;
011;1;1;;0.9.2;
012;1;1;;0.9.3;
013;1;1;;0.9.3;
014;1;1;;0.9.3;
015;1;1;;0.9.3;
016;1;1;;0.9.3;
017;1;1;;0.9.3;
018;1;1;;0.9.3;
019;1;1;;0.9.4;
020;1;1;;0.9.4;
021;1;1;;0.9.4;
022;1;1;;0.9.6;
023;1;1;;0.9.6;
024;1;1;;0.9.6;
025;1;1;;0.9.6;
026;1;1;;0.9.6;
027;1;1;;0.9.7;
028;1;1;;0.9.7;
029;1;1;;0.9.8;
030;1;1;;0.9.8;
031;1;1;;0.9.9;
032;1;1;;0.9.9;
033;1;1;;0.9.9;
